"Shift #","Trip #","Operator Name","Medallion","Device Type","Chauffeur #","Meter On Datetime","Meter Off Datetime","Trip Length","Pickup Latitude","Pickup Longitude","Pickup Location","Dropoff Latitude","Dropoff Longitude","Dropoff Location","Fare","Tax","Tips","Tolls","Surcharge","Trip Total","Payment Type","Street/Dispatch"
84772847,26971,"Freedom Taxi","9554","NGP",273853,"07/01/2015 00:01","07/01/2015 00:09","5.8","39.731499","-75.258519","730 S 21ST ST","39.039624","-75.644983","3301 N 22ND ST","7.30","0.65","0.00","0.00","0.00","7.95","Cash","Street Hail"
01402670,89240,"Freedom Taxi","8707","NGP",515867,"07/01/2015 00:01","07/01/2015 00:12","3.2","39.608285","-75.580268","5833 HOFFMAN AVE","39.447938","-75.965455","6046 W OXFORD ST","17.88","0.65","3.71","0.00","0.00","22.24","Credit Card","Street Hail"
76546952,17252,"Freedom Taxi","7486","NGP",874652,"07/01/2015 00:01","07/01/2015 00:36","6.3","39.502786","-75.214728","5119 RANSTEAD ST","39.635987","-75.118757","6901 VALLEY AVE","21.79","0.65","0.00","0.00","0.00","22.44","Cash","Street Hail"
15995745,20125,"Freedom Taxi","9643","NGP",371486,"07/01/2015 00:03","07/01/2015 00:11","1.4","39.715300","-75.008792","137 N EDGEWOOD ST","39.871304","-75.843594","2419 S ISEMINGER ST","7.30","0.65","0.00","0.00","0.00","7.95","Cash","Street Hail"
40866558,83899,"Freedom Taxi","7653","NGP",137365,"07/01/2015 00:04","07/01/2015 00:11","1.7","39.502213","-75.228925","2001 HAMILTON ST","39.252216","-75.788055","449 FITZGERALD ST","7.07","0.65","0.00","0.00","0.00","7.72","Cash","Street Hail"
32198606,23948,"Freedom Taxi","8893","NGP",914472,"07/01/2015 00:04","07/01/2015 00:09","0.9","39.963982","-75.027422","2301 W HAGERT ST","39.126104","-75.263654","840 N 40TH ST","7.30","0.65","0.00","0.00","0.00","7.95","Cash","Street Hail"
25705478,13856,"Freedom Taxi","6515","NGP",648241,"07/01/2015 00:04","07/01/2015 00:06","0.5","39.503636","-75.067186","813 N 63RD ST","39.716879","-75.560864","1008R FAIRMOUNT AVE","3.62","0.65","2.00","0.00","0.00","6.27","Credit Card","Street Hail"
84035872,00908,"Freedom Taxi","8002","NGP",839908,"07/01/2015 00:04","07/01/2015 00:10","0.6","39.815168","-75.007991","1625 N REDFIELD ST","39.758974","-75.014721","5720-38 MEDIA ST","6.38","0.00","3.00","0.00","0.75","10.13","Credit Card","Street Hail"
38151438,40472,"Freedom Taxi","9837","NGP",170492,"07/01/2015 00:05","07/01/2015 00:23","5.7","39.088769","-75.490204","1737-39 CHESTNUT ST","39.676390","-75.819937","13 N FRAZIER ST","17.19","0.65","0.00","0.00","0.00","17.84","Cash","Street Hail"
55313980,66872,"Freedom Taxi","3102","NGP",482335,"07/01/2015 00:05","07/01/2015 00:05","0.0","39.893747","-75.087116","1719 N. PEACH ST","39.717712","-75.914513","1111 MOUNT VERNON ST","2.70","0.65","0.00","0.00","0.00","3.35","Cash","Street Hail"
13335100,16075,"Freedom Taxi","7638","NGP",523279,"07/01/2015 00:06","07/01/2015 00:24","15.7","39.941052","-75.649280","726-28 MARKET ST","39.352316","-75.444441","2010 FERNON ST","39.27","0.65","7.95","0.00","0.00","47.87","Credit Card","Street Hail"
48866403,21140,"Freedom Taxi","7199","NGP",178921,"07/01/2015 00:06","07/01/2015 00:46","31.8","39.663851","-75.634776","2445 CECIL B MOORE AVE","40.864057","-75.997774","1411 E CHELTENHAM AVE","76.30","0.65","15.00","0.00","1.50","93.45","Credit Card","Street Hail"
56303967,06316,"Freedom Taxi","5932","NGP",606379,"07/01/2015 00:06","07/01/2015 00:14","3.0","39.184701","-75.240967","1101-39 W GIRARD AVE","39.362934","-75.203641","400 MARKET ST","7.07","0.65","0.00","0.00","0.00","7.72","Cash","Street Hail"
79950064,97946,"Freedom Taxi","1281","NGP",065899,"07/01/2015 00:06","07/01/2015 00:10","0.6","39.119961","-75.054240","333 WHARTON ST","39.243298","-75.094611","1100-1198 LOCUST","4.54","0.65","4.00","0.00","0.00","9.19","Credit Card","Street Hail"
18938947,73448,"Freedom Taxi","2035","NGP",727235,"07/01/2015 00:07","07/01/2015 00:18","1.3","39.577933","-75.757580","5300-5398 CHARLES","39.086688","-75.590068","1700-20 BENJ FRANKLIN PKY","7.76","0.65","0.00","0.00","0.00","8.41","Cash","Street Hail"
81569306,08849,"Freedom Taxi","1141","NGP",120429,"07/01/2015 00:07","07/01/2015 00:20","2.8","39.102513","-75.456486","4201 ASPEN ST","39.349055","-75.297752","7626 WYNDALE AVE","9.60","0.65","0.00","0.00","0.00","10.25","Cash","Street Hail"
30419209,98062,"Freedom Taxi","8349","NGP",343068,"07/01/2015 00:08","07/01/2015 00:19","3.0","39.861516","-75.432598","6225 CRAFTON ST","39.009540","-75.456699","5160 F ST","10.75","0.65","0.00","0.00","0.00","11.40","Cash","Street Hail"
75855980,09738,"Freedom Taxi","0079","NGP",386172,"07/01/2015 00:08","07/01/2015 00:13","1.1","39.649629","-75.067871","7220 MARSDEN ST","39.525298","-75.299843","1623 WYNSAM ST","5.69","0.65","2.00","0.00","0.00","8.34","Credit Card","Street Hail"
74766516,42289,"Freedom Taxi","4631","NGP",136744,"07/01/2015 00:09","07/01/2015 00:17","2.1","39.213915","-75.589705","226 LOMBARD ST","39.405588","-75.506347","1901 WALNUT STREET","7.76","0.65","0.00","0.00","0.00","8.41","Cash","Street Hail"
01495047,31076,"Freedom Taxi","1702","NGP",306487,"07/01/2015 00:09","07/01/2015 00:19","3.3","39.377251","-75.278495","1325 S CLEVELAND ST","39.824392","-75.353793","1019 N LEITHGOW ST","10.29","0.65","0.00","0.00","0.00","10.94","Cash","Street Hail"
60508147,55698,"Freedom Taxi","8444","NGP",512666,"07/01/2015 00:10","07/01/2015 00:20","0.0","39.034688","-75.993878","5302 N 15TH ST","39.795243","-75.688191","236 N 50TH ST","9.14","0.65","0.00","0.00","0.00","9.79","Cash","Street Hail"
66857566,96202,"Freedom Taxi","6200","NGP",863308,"07/01/2015 00:10","07/01/2015 00:19","1.8","39.324946","-75.966376","2646 W YORK ST","39.698753","-75.589645","931 E MOYAMENSING AVE","7.76","0.65","0.00","0.00","0.00","8.41","Cash","Street Hail"
41116835,02973,"Freedom Taxi","0006","NGP",691241,"07/01/2015 00:11","07/01/2015 00:20","1.9","39.188670","-75.622000","726 N 41ST ST","39.850412","-75.310776","844 UNION ST","7.99","0.65","0.00","0.00","0.00","8.64","Cash","Street Hail"
79950064,82705,"Freedom Taxi","1281","NGP",065899,"07/01/2015 00:11","07/01/2015 00:24","2.6","39.691437","-75.944076","841 CORINTHIAN AVE","39.746118","-75.159094","2040 TYSON AVE","10.98","0.65","0.00","0.00","0.00","11.63","Cash","Street Hail"
97733005,93204,"Freedom Taxi","3912","NGP",202910,"07/01/2015 00:12","07/01/2015 00:27","2.2","39.929181","-75.392258","915 SPRUCE ST","39.862259","-75.805507","5416 RISING SUN AVE","28.50","0.65","5.80","0.00","0.00","34.95","Credit Card","Street Hail"
37645958,51144,"Freedom Taxi","3780","NGP",616336,"07/01/2015 00:12","07/01/2015 00:18","0.0","39.778928","-75.067683","4347 BALTIMORE AVE","39.370083","-75.916082","15073 LONDON RD","6.84","0.65","0.00","0.00","0.00","7.49","Cash","Street Hail"
50946394,62118,"Freedom Taxi","3449","NGP",998979,"07/01/2015 00:12","07/01/2015 00:26","4.3","39.519530","-75.546394","1010 ARCH ST","39.045795","-75.478161","64004 DELAIRE LANDING RD","13.97","0.65","0.00","0.00","0.00","14.62","Cash","Street Hail"
52102553,58274,"Freedom Taxi","5376","NGP",427656,"07/01/2015 00:13","07/01/2015 00:17","1.2","39.900743","-75.747243","6207 LIMEKILN PK","39.768785","-75.131054","5022 WAYNE AVE","5.69","0.65","2.00","0.00","0.00","8.34","Credit Card","Street Hail"
68660579,10028,"Freedom Taxi","5753","NGP",383563,"07/01/2015 00:13","07/01/2015 00:14","0.5","39.253153","-75.882603","1201-1299 FITZWATER","39.638404","-75.724835","3841 J ST","3.39","0.65","0.00","0.00","0.00","4.04","Cash","Street Hail"
89165033,88182,"Freedom Taxi","4828","NGP",261687,"07/01/2015 00:13","07/01/2015 00:18","1.6","39.265890","-75.717469","3610 SOLLY AVE","39.679539","-75.184577","933 S PAXON ST","6.61","0.65","6.00","0.00","0.00","13.26","Credit Card","Street Hail"
70043818,15268,"Freedom Taxi","2453","NGP",973988,"07/01/2015 00:13","07/01/2015 00:24","16.9","0.0162390","0.00864589","2813 GAUL ST","0.0362641","0.00672679","2807 WILLITS RD","16.27","0.00","4.55","0.00","2.00","22.82","Credit Card","Street Hail"
18906961,06459,"Freedom Taxi","6204","NGP",679267,"07/01/2015 00:14","07/01/2015 00:18","1.5","39.328687","-75.688900","5700 W OXFORD ST","39.786945","-75.631287","5027 LARCHWOOD AVE","6.61","0.65","0.00","0.00","0.00","7.26","Cash","Street Hail"
99428010,82462,"Freedom Taxi","8180","NGP",515262,"07/01/2015 00:14","07/01/2015 00:18","0.0","39.434358","-75.914734","1936 FONTAIN ST","39.316325","-75.215474","2340 GREENWICH ST","4.77","0.65","0.00","0.00","0.00","5.42","Cash","Street Hail"
