"Shift #","Trip #","Operator Name","Medallion","Device Type","Chauffeur #","Meter On Datetime","Meter Off Datetime","Trip Length","Pickup Latitude","Pickup Longitude","Pickup Location","Dropoff Latitude","Dropoff Longitude","Dropoff Location","Fare","Tax","Tips","Tolls","Surcharge","Trip Total","Payment Type","Street/Dispatch"
48162084,83126,"Freedom Taxi","0401","NGP",232602,"09/30/2015 23:59","10/01/2015 00:12","3.0","39.815421","-75.881875","910 MAGEE AVE","39.519741","-75.239344","913 S 16TH ST","10.98","0.60","5.00","0.00","0.00","16.58","Credit Card","Street Hail"
97827042,45347,"Freedom Taxi","6515","NGP",648241,"10/01/2015 00:00","10/01/2015 00:12","2.2","39.714261","-75.881110","1001 S CLEVELAND ST","39.846832","-75.084419","3419 TAMPA ST","9.83","0.60","0.00","0.00","0.00","10.43","Cash","Street Hail"
54436707,47154,"Freedom Taxi","6026","NGP",060272,"10/01/2015 00:01","10/01/2015 00:13","10.5","39.210265","-75.796017","7703 PICKERING AVE","39.358821","-75.432004","4633 EDMUND ST","15.58","0.00","0.00","0.00","0.45","16.03","Cash","Street Hail"
04613000,63328,"Freedom Taxi","5753","NGP",383563,"10/01/2015 00:01","10/01/2015 00:06","0.6","39.483021","-75.203179","3340 W SERGEANT ST","39.476847","-75.633039","1740 RITNER ST","5.00","0.60","0.00","0.00","0.00","5.60","Cash","Street Hail"
83118553,77980,"Freedom Taxi","8707","NGP",515867,"10/01/2015 00:01","10/01/2015 00:08","0.8","39.556208","-75.333457","4261 N REESE ST","39.283055","-75.007702","819 S 19TH ST","6.84","0.60","1.49","0.00","0.00","8.93","Credit Card","Street Hail"
59901491,93492,"Freedom Taxi","0079","NGP",386172,"10/01/2015 00:02","10/01/2015 00:16","3.0","39.329462","-75.004174","530 S 19TH ST","39.289949","-75.233734","426 PINE ST","10.98","0.60","1.50","0.00","0.00","13.08","Credit Card","Street Hail"
11712144,78402,"Freedom Taxi","7653","NGP",137365,"10/01/2015 00:02","10/01/2015 00:10","2.2","39.131047","-75.245023","1916 HARTEL AVE","39.052588","-75.879250","1231 S 26TH ST","8.22","0.60","0.00","0.00","0.00","8.82","Cash","Street Hail"
46071339,92498,"Freedom Taxi","2869","NGP",187443,"10/01/2015 00:05","10/01/2015 00:17","17.3","39.308194","-75.299503","4816 N 04TH ST","39.380516","-75.816061","5209 WESTMINSTER AVE","18.80","0.60","4.15","0.00","1.50","25.05","Credit Card","Street Hail"
20548228,99074,"Freedom Taxi","5910","NGP",906066,"10/01/2015 00:06","10/01/2015 00:18","2.8","39.863354","-75.153233","4024 SPRING GARDEN ST","39.628174","-75.498831","3135 N. 17TH ST","15.81","0.60","4.10","0.00","0.00","20.51","Credit Card","Street Hail"
96806139,91247,"Freedom Taxi","3417","NGP",863541,"10/01/2015 00:06","10/01/2015 00:13","0.6","39.595898","-75.715762","6410 E ROOSEVELT BLV","39.726192","-75.676648","154 MELVALE ST","6.38","0.60","4.00","0.00","0.00","10.98","Credit Card","Street Hail"
54474124,64058,"Freedom Taxi","4783","NGP",143452,"10/01/2015 00:07","10/01/2015 00:11","1.0","39.898285","-75.921004","860 N 44TH ST","39.088253","-75.935413","135 E WALNUT LA","5.46","0.60","1.50","0.00","0.00","7.56","Credit Card","Street Hail"
67406982,98102,"Freedom Taxi","7662","NGP",776740,"10/01/2015 00:07","10/01/2015 00:12","1.0","39.274006","-75.271632","1923 REED ST","39.259508","-75.807936","5324 N 15TH ST","5.69","0.60","3.00","0.00","0.00","9.29","Credit Card","Street Hail"
99966351,39351,"Freedom Taxi","5376","NGP",427656,"10/01/2015 00:07","10/01/2015 00:20","3.8","39.095680","-75.327914","924-28 NEW MARKET ST","39.731184","-75.988562","1471 N FRAZIER ST","11.90","0.60","0.00","0.00","0.00","12.50","Cash","Street Hail"
29839309,86432,"Freedom Taxi","8380","NGP",557043,"10/01/2015 00:08","10/01/2015 00:15","1.3","39.327943","-75.609420","2733 MAXWELL ST","39.706577","-75.800560","5527 MIRIAM RD","6.61","0.60","0.00","0.00","0.00","7.21","Cash","Street Hail"
57269214,38614,"Freedom Taxi","5847","NGP",462886,"10/01/2015 00:08","10/01/2015 00:11","0.8","39.388788","-75.849471","1216 REED ST","39.697194","-75.555167","6526 COTTAGE ST","4.77","0.60","2.00","0.00","0.00","7.37","Credit Card","Street Hail"
20864753,32691,"Freedom Taxi","1281","NGP",711553,"10/01/2015 00:08","10/01/2015 00:18","2.7","39.137228","-75.866665","2800 WELSH RD","39.220239","-75.322998","2311 N CLEVELAND ST","9.60","0.60","0.00","0.00","0.00","10.20","Cash","Street Hail"
82473306,56208,"Freedom Taxi","3134","NGP",612318,"10/01/2015 00:09","10/01/2015 00:18","0.4","39.675232","-75.089896","3103 CECIL B MOORE AVE","39.708396","-75.254079","6312 GILLESPIE ST","7.99","0.60","0.00","0.00","0.00","8.59","Cash","Street Hail"
25884076,57562,"Freedom Taxi","4828","NGP",261687,"10/01/2015 00:09","10/01/2015 00:21","3.1","39.948247","-75.403578","2642 W LEHIGH AVE PHILADELPHIA","39.809510","-75.396196","2607 N 30TH ST","10.75","0.60","2.25","0.00","0.00","13.60","Credit Card","Street Hail"
59954719,89886,"Freedom Taxi","4171","NGP",951247,"10/01/2015 00:10","10/01/2015 00:15","0.0","39.308726","-75.094167","4409 CHESTNUT ST","39.573578","-75.215993","1713 LATONA ST","5.92","0.60","0.00","0.00","0.00","6.52","Dispute","Street Hail"
66996307,20073,"Freedom Taxi","0006","NGP",691241,"10/01/2015 00:12","10/01/2015 00:22","2.1","39.570863","-75.668953","221 S ALDEN ST","39.410005","-75.101107","508 W CUMBERLAND ST","8.22","0.60","0.00","0.00","0.00","8.82","Credit Card","Street Hail"
50727668,08648,"Freedom Taxi","2385","NGP",811120,"10/01/2015 00:13","10/01/2015 00:26","7.6","39.691930","-75.765748","1302 FOULKROD ST","39.167575","-75.796450","2108 WALNUT ST","20.64","0.60","4.00","0.00","1.50","26.74","Credit Card","Street Hail"
72947817,18921,"Freedom Taxi","2453","NGP",880125,"10/01/2015 00:13","10/01/2015 00:20","1.6","39.855255","-75.878295","6823 CLEARVIEW ST","39.064033","-75.070845","1901-1999 GERRITT","5.69","0.00","1.50","0.00","0.60","7.79","Credit Card","Street Hail"
82573577,73102,"Freedom Taxi","3113","NGP",156300,"10/01/2015 00:18","10/01/2015 00:19","0.3","39.255144","-75.198085","5623 NELSON ST","39.252754","-75.110930","1718 S RINGGOLD ST","3.39","0.60","0.00","0.00","0.00","3.99","Cash","Street Hail"
98248691,13548,"Freedom Taxi","4067","MKC",087442,"10/01/2015 00:19","10/01/2015 00:31","8.2","39.154017","-75.987995","1834 FERNON ST","39.919013","-75.780280","5521 JEFFERSON ST","28.50","0.60","5.80","0.00","0.00","34.90","Credit Card","Street Hail"
04648140,38050,"Freedom Taxi","5231","NGP",626532,"10/01/2015 00:20","10/01/2015 00:27","1.9","39.350620","-75.287006","5726 N MARSHALL ST","39.455439","-75.659675","300-398 CANTRELL","7.53","0.60","3.00","0.00","0.00","11.13","Credit Card","Street Hail"
12039664,42760,"Freedom Taxi","9274","NGP",699769,"10/01/2015 00:20","10/01/2015 00:22","0.6","39.154036","-75.034891","201 S 18TH ST","39.928619","-75.516626","5609-11 TULIP ST","4.08","0.60","0.00","0.00","0.00","4.68","Cash","Street Hail"
41360754,81851,"Freedom Taxi","4188","NGP",110630,"10/01/2015 00:22","10/01/2015 00:22","0.5","39.696846","-75.994560","2901-2999 TYSON AVE","39.825836","-75.806153","1716 N RUBY ST","28.50","0.60","5.00","0.00","2.00","36.10","Credit Card","Street Hail"
96806139,47844,"Freedom Taxi","3417","NGP",863541,"10/01/2015 00:25","10/01/2015 00:37","1.4","39.508676","-75.895953","10050 E ROOSEVELT BLV","39.692186","-75.037229","8112 THOURON AVE","9.60","0.60","0.00","0.00","0.00","10.20","Cash","Street Hail"
49244496,49879,"Freedom Taxi","7638","NGP",523279,"10/01/2015 00:25","10/01/2015 00:32","1.2","39.920289","-75.843597","6614-24 GERMANTOWN AVE","39.072147","-75.808731","1446 N FELTON ST","6.38","0.60","0.00","0.00","0.00","6.98","Cash","Street Hail"
25884076,34107,"Freedom Taxi","4828","NGP",261687,"10/01/2015 00:26","10/01/2015 00:41","3.2","39.094655","-75.176900","6322 ALLMAN ST","39.944967","-75.438068","1901 CHESTNUT ST","12.13","0.60","5.00","0.00","0.00","17.73","Credit Card","Street Hail"
97827042,18226,"Freedom Taxi","6515","NGP",648241,"10/01/2015 00:26","10/01/2015 00:35","2.5","39.550476","-75.032042","2555 S ROBINSON ST","39.582274","-75.707952","1354 S 51ST ST","9.14","0.60","0.00","0.00","0.00","9.74","Cash","Street Hail"
41316519,89906,"Freedom Taxi","3981","NGP",312787,"10/01/2015 00:27","10/01/2015 00:40","2.7","39.437511","-75.673457","4243 WESTMINSTER AVE","39.015981","-75.623243","4727 WALNUT ST","16.04","0.60","4.15","0.00","0.00","20.79","Credit Card","Street Hail"
88847758,10201,"Freedom Taxi","8426","NGP",498341,"10/01/2015 00:28","10/01/2015 00:41","2.8","39.652486","-75.970410","3716 N PERCY STREET","39.382052","-75.104313","1010 RACE ST","10.52","0.60","0.00","0.00","0.00","11.12","Cash","Street Hail"
06325921,73391,"Quaker City Cab","9741","NGP",491265,"10/01/2015 00:29","10/01/2015 00:35","0.0","39.516521","-75.259622","2333 N GARNET ST","39.087520","-75.647558","1721 PINE ST","8.91","0.60","0.00","0.00","0.00","9.51","Cash","Street Hail"
04613000,25662,"Freedom Taxi","5753","NGP",383563,"10/01/2015 00:30","10/01/2015 00:35","0.7","39.037958","-75.192928","5816 FERNWOOD ST","39.104289","-75.906719","4076 SPRING GARDEN ST","5.00","0.60","2.00","0.00","0.00","7.60","Credit Card","Street Hail"
15592895,31714,"Freedom Taxi","4330","NGP",694082,"10/01/2015 00:30","10/01/2015 00:36","0.0","39.223654","-75.927941","1704 N BOUVIER ST","39.010526","-75.673577","1539-41 W VENANGO ST","5.92","0.60","0.00","0.00","0.00","6.52","Cash","Street Hail"
20864753,46977,"Freedom Taxi","1281","NGP",711553,"10/01/2015 00:31","10/01/2015 00:41","2.0","39.485149","-75.896574","3838 N 09TH ST","39.112875","-75.125851","2547 COLLINS ST","8.22","0.60","0.00","0.00","0.00","8.82","Cash","Street Hail"
32746631,44097,"Freedom Taxi","9913","NGP",170586,"10/01/2015 00:32","10/01/2015 00:41","2.8","39.412826","-75.279307","3116 N 15TH ST PHILADELPHIA","39.160686","-75.053904","226 RITTENHOUSE","9.83","0.60","0.00","0.00","0.00","10.43","Cash","Street Hail"
46128885,41835,"Freedom Taxi","3102","NGP",684901,"10/01/2015 00:33","10/01/2015 00:38","1.5","39.593600","-75.895548","1711 ARNOLD ST","39.326189","-75.430004","900-998 N PENN ST","6.61","0.60","0.00","0.00","0.00","7.21","Cash","Street Hail"
06125999,19546,"Freedom Taxi","2315","NGP",958921,"10/01/2015 00:36","10/01/2015 00:43","1.3","39.059953","-75.612058","2230 W VENANGO ST","39.116176","-75.570879","1533 RIDGE AVE","6.61","0.60","0.00","0.00","0.00","7.21","Credit Card","Street Hail"
39969933,71953,"Freedom Taxi","4103","NGP",522310,"10/01/2015 00:36","10/01/2015 00:47","3.7","39.891540","-75.131032","3619 N GRATZ ST","39.963044","-75.724098","1821 N GRATZ ST","11.90","0.00","0.00","0.00","0.65","12.55","Cash","Street Hail"
96009924,74672,"Freedom Taxi","4631","NGP",136744,"10/01/2015 00:36","10/01/2015 00:44","2.2","39.700178","-75.628389","1837 S 22ND ST","39.748040","-75.571206","2426 S BANCROFT ST","7.99","0.60","0.00","0.00","0.00","8.59","Cash","Street Hail"
70738024,26897,"Freedom Taxi","8216","NGP",203443,"10/01/2015 00:36","10/01/2015 01:00","18.0","39.600606","-75.838508","5908 OSAGE AVE","39.388482","-75.715283","1220 N ALDEN ST","44.10","0.60","0.00","0.00","1.50","46.20","Cash","Street Hail"
99966351,06382,"Freedom Taxi","5376","NGP",427656,"10/01/2015 00:37","10/01/2015 00:41","1.1","39.191543","-75.815867","1319 BAINBRIDGE ST","39.564077","-75.263988","1656 S CONESTOGA ST","5.23","0.60","2.00","0.00","0.00","7.83","Credit Card","Street Hail"
32798564,03586,"Freedom Taxi","3449","NGP",998979,"10/01/2015 00:37","10/01/2015 01:04","0.0","39.717074","-75.193422","21 N 03RD ST","40.786451","-75.189880","1312 N DOVER ST","48.93","0.60","4.00","0.00","0.00","53.53","Credit Card","Street Hail"
76153892,03017,"Freedom Taxi","1230","NGP",922392,"10/01/2015 00:39","10/01/2015 00:45","1.9","39.889841","-75.479140","4686 DUFFIELD ST","39.989119","-75.271749","1026-44 MARKET ST","7.30","0.60","0.00","0.00","0.00","7.90","Cash","Street Hail"
00525247,04047,"Freedom Taxi","6200","NGP",863308,"10/01/2015 00:41","10/01/2015 00:50","2.2","39.923040","-75.003840","1625 WASHINGTON AVE","39.116339","-75.198785","6418 E ROOSEVELT BLV","8.22","0.60","2.00","0.00","0.00","10.82","Credit Card","Street Hail"
72947817,87082,"Freedom Taxi","2453","NGP",880125,"10/01/2015 00:41","10/01/2015 00:49","5.1","39.958508","-75.385173","5161 ARBOR ST","39.243776","-75.500064","1334 S COLORADO ST","7.53","0.00","1.00","0.00","0.60","9.13","Credit Card","Street Hail"
97827042,99411,"Freedom Taxi","6515","NGP",648241,"10/01/2015 00:43","10/01/2015 00:45","0.9","39.702791","-75.612148","3400-3498 TILDEN","39.730256","-75.707785","2501 OAKFORD ST","4.77","0.60","0.00","0.00","0.00","5.37","Cash","Street Hail"
04613000,88226,"Freedom Taxi","5753","NGP",383563,"10/01/2015 00:44","10/01/2015 00:57","2.8","39.471616","-75.955790","5442 WOODLAND AVE","39.077094","-75.655021","2964 N HICKS ST","10.06","0.60","0.00","0.00","0.00","10.66","Cash","Street Hail"
25884076,70987,"Freedom Taxi","4828","NGP",261687,"10/01/2015 00:46","10/01/2015 00:50","1.4","39.940026","-75.740550","5652 CARPENTER ST","39.517816","-75.805630","811 N 39TH ST","5.92","0.60","0.00","0.00","0.00","6.52","Cash","Street Hail"
81217519,43473,"Freedom Taxi","0160","NGP",156537,"10/01/2015 00:46","10/01/2015 00:58","3.2","39.526675","-75.714272","5714 WISSAHICKON AVE","39.485261","-75.978564","5819 CEDAR AVE","11.67","0.60","0.00","0.00","0.00","12.27","Cash","Street Hail"
29389036,37071,"Freedom Taxi","6230","NGP",179126,"10/01/2015 00:47","10/01/2015 00:53","3.9","39.502812","-75.651198","3848 N 08TH ST","39.422532","-75.494346","5424 WYNNEFIELD AVE","11.90","0.60","2.40","0.00","0.00","14.90","Credit Card","Street Hail"
02122050,81293,"Freedom Taxi","2035","NGP",727235,"10/01/2015 00:44","10/01/2015 00:55","1.8","39.571409","-75.038071","901-999 N PENN ST","39.046548","-75.865739","1544 S 13TH ST","8.22","0.60","2.00","0.00","0.00","10.82","Credit Card","Street Hail"
66996307,27943,"Freedom Taxi","0006","NGP",691241,"10/01/2015 00:48","10/01/2015 00:53","1.0","39.495160","-75.376856","2142 LATONA ST","39.686146","-75.508938","00315 HARTEL AVE/LI","5.23","0.60","0.00","0.00","0.00","5.83","Cash","Street Hail"
18662113,98390,"Freedom Taxi","3912","NGP",202910,"10/01/2015 00:48","10/01/2015 00:53","0.3","39.869395","-75.301636","1621 S FRANKLIN ST","39.799255","-75.326705","4437 N CHADWICK ST","5.69","0.60","0.00","0.00","0.00","6.29","Cash","Street Hail"
15592895,76342,"Freedom Taxi","4330","NGP",694082,"10/01/2015 00:49","10/01/2015 00:58","2.5","39.691197","-75.498907","1331 S JUNIPER ST","39.012458","-75.814191","6038 SHISLER ST","8.91","0.60","2.00","0.00","0.00","11.51","Credit Card","Street Hail"
33917671,10370,"Freedom Taxi","3159","NGP",015944,"10/01/2015 00:50","10/01/2015 00:52","0.2","39.294581","-75.186019","6303 GILLESPIE ST","39.415220","-75.157528","1215 E STAFFORD ST","4.31","0.00","1.00","0.00","0.65","5.96","Credit Card","Street Hail"
54474124,57378,"Freedom Taxi","4783","NGP",143452,"10/01/2015 00:51","10/01/2015 01:00","1.7","39.147914","-75.865801","1614 SELLERS ST","39.346072","-75.915050","1342 S RINGGOLD ST","7.76","0.60","2.00","0.00","0.00","10.36","Credit Card","Street Hail"
